Article;Infobox_value;Entity;Sentence
Ali Hassan Osman;primeminister ;Omar Abdirashid Ali Sharmarke;" ""He is the former Minister of Agriculture of Somalia, having been appointed to the position on 27 January 2015 by the now former Prime Minister [[Omar Abdirashid Ali Sharmarke]]."" "
Ali Hassan Osman; birth_place ;Somalia;" ""He is the former Minister of Agriculture of [[Somalia]], having been appointed to the position on 27 January 2015 by the now former Prime Minister Omar Abdirashid Ali Sharmarke."" "
Aconex; location_city ;Australia;" ""Aconex Limited (ASX: ACX) is an ASX 200 listed public [[Australian]] company providing mobile and web-based collaboration technologies for project information and process management (also sometimes described as project management or project extranet systems), on a software as a service (SaaS) basis, to clients in the construction, infrastructure, power, mining, and oil and gas sectors."" "
British Columbia Soccer Association; location      ;Vancouver;" ""BCSA is located in [[Vancouver]], British Columbia's largest city."" "
British Columbia Soccer Association; location      ;British Columbia;" ""BC Soccer is the governing body of adult and youth soccer in [[British Columbia]], Canada."" "
Stefanie Clark; birth_place ;Charlottetown;" ""Stefanie Clark (born November 10, 1980 in [[Charlottetown]], Prince Edward Island as Stefanie Richard) is a Canadian curler."" "
Stefanie Clark; birth_place ;Prince Edward Island;" ""Stefanie Clark (born November 10, 1980 in Charlottetown, [[Prince Edward Island]] as Stefanie Richard) is a Canadian curler."" "
Stefanie Clark; Curling club ;Charlottetown;" ""Stefanie Clark (born November 10, 1980 in [[Charlottetown]], Prince Edward Island as Stefanie Richard) is a Canadian curler."" "
Stefanie Clark; Curling club ;Prince Edward Island;" ""Stefanie Clark (born November 10, 1980 in Charlottetown, [[Prince Edward Island]] as Stefanie Richard) is a Canadian curler."" "
Stefanie Clark;medaltemplates;Curling;" ""Stefanie Clark (born November 10, 1980 in Charlottetown, Prince Edward Island as Stefanie Richard) is a Canadian [[curler]]."" "
Stefanie Clark;medaltemplates;World Junior Curling Championships;" ""In 2001, the team won the Junior Championships and went on to win the gold medal at the [[World Junior Curling Championships]] as w ell."" "
Otto I, Margrave of Brandenburg; succession   ;Margrave of Brandenburg;" ""Otto I (c. 1128 – July 8, 1184) was the second [[Margrave of Brandenburg]], from 1170 until his death."" "
Otto I, Margrave of Brandenburg; spouse       ;Ada of Holland;" ""After Judith's dea th in 1175, Otto married [[Ada of Holland]] in 1176, daughter of Floris III, Count of Holland."" "
Otto I, Margrave of Brandenburg; house        ;House of Ascania;" ""Otto I was born into the [[House of Ascania]] as the eldest son of Albert I (""Albert the Bear""), who founded the Margraviate of Br andenburg in 1157, and his wife Sophie of Winzenburg."" "
Otto I, Margrave of Brandenburg; mother       ;Sophie of Winzenburg;" ""Otto I was born into the House of Ascania as the eldest son of Albert I (""Albert the Bear""), who founded the Margraviate of Br andenburg in 1157, and his wife [[Sophie of Winzenburg]]."" "
Otto I, Margrave of Brandenburg; burial_place ;Lehnin Abbey;" ""Otto had two sons from the first marriage, Otto and Heinrich, and a third son from the second marriage, Albert:Otto was buried in the [[Lehnin Abbey]], which he had helped build."" "
Eric Mercury; origin ;Toronto;" ""He was born and raised in [[Toronto]], Ontario into a family of musicians."" "
Cyclone Keila; Areas;Oman;" ""Given the name Keila by the India Meteorological Department (IMD), the storm quickly moved ashore southern [[Oman]] near Salalah, and weakened while meandering over the country."" "
Cyclone Keila; Areas;Yemen;" ""On October 29, the India Meteorological Department (IMD) designated the system as Depression ARB 02 about 885 km (550 mi) east of the [[Yemen]]i island of Socotra."" "
Cyclone Keila; Hurricane season;2011 North Indian Ocean cyclone season;" ""Cyclonic Storm Keila (IMD designation: ARB 02, JTWC designation: 03A) was the first named storm of the [[2011 North Indian Ocean cyclone season]]."" "
Portbraddon Cave; location       ;Portbraddon;" ""[[Portbraddon]] Cave (also spelled Portbradden, Portbraddan) is a relict sea cave located near [[Portbraddon]], County Antrim on the north coast of Northern Ireland."" "
Portbraddon Cave; location       ;County Antrim;" ""Portbraddon Cave (also spelled Portbradden, Portbraddan) is a relict sea cave located near Portbraddon, [[County Antrim]] on the north coast of Northern Ireland."" "
Portbraddon Cave; region         ;Northern Ireland;" ""Portbraddon Cave (also spelled Portbradden, Portbraddan) is a relict sea cave located near Portbraddon, County Antrim on the north coast of [[Northern Ireland]]."" "
Portbraddon Cave; type           ;sea cave;" ""Portbraddon Cave (also spelled Portbradden, Portbraddan) is a relict [[sea cave]] located near Portbraddon, County Antrim on the north coast of Northern Ireland."" "
Portbraddon Cave; epochs         ;Mesolithic;" ""Its location above the present-day high water mark makes it important archaeologically, as it would have been inhabited as far back as the [[Mesolithic]]."" "
Kentin Mahé; caption             ;HSV Hamburg;" ""Mahé returned to Germany in 2009 and made his senior debut for DHC Rheinland, before enjoying stints in VfL Gummersbach and [[HSV Hamburg]]."" "
Kentin Mahé; currentclub         ;SG Flensburg-Handewitt;" ""Kentin Mahé (born 22 May 1991) is a French handball player for [[SG Flensburg-Handewitt]] and the French national team."" "
Kentin Mahé; youthclubs4         ;Hammarby IF Handboll;" ""His maternal grandmother is from Sweden and he lived in Stockholm for four months in 2008, aged 18, playing youth handball with then reigning national champions [[Hammarby IF]]."" "
Kentin Mahé; clubs1              ;DHC Rheinland;" ""Mahé returned to Germany in 2009 and made his senior debut for [[DHC Rheinland]], before enjoying stints in VfL Gummersbach and HSV Hamburg."" "
Kentin Mahé; clubs2              ;VfL Gummersbach;" ""Mahé returned to Germany in 2009 and made his senior debut for DHC Rheinland, before enjoying stints in [[VfL Gummersbach]] and HSV Hamburg."" "
Kentin Mahé; clubs3              ;HSV Hamburg;" ""Mahé returned to Germany in 2009 and made his senior debut for DHC Rheinland, before enjoying stints in VfL Gummersbach and [[HSV Hamburg]]."" "
Kentin Mahé; clubs4              ;SG Flensburg-Handewitt;" ""Kentin Mahé (born 22 May 1991) is a French handball player for [[SG Flensburg-Handewitt]] and the French national team."" "
Kentin Mahé; clubs5              ;MVM Veszprém KC;" ""He will join the Hungarian club [[MVM Veszprém KC]] on 1 July 2018."" "
Kentin Mahé; nationalteam        ;France national handball team;" ""Kentin Mahé (born 22 May 1991) is a French handball player for SG Flensburg-Handewitt and the [[French national team]]."" "
Morgan Blake; alma_mater ;Vanderbilt University;" ""A law graduate from [[Vanderbilt University]] in 1911, he began newspaper work on the ""Nashville Tennessean""."" "
Léonie d’Aunet; caption       ;François-Auguste Biard;" ""d'Aunet married in Paris on July 23, 1840 to painter [[François-Auguste Biard]] (1798-1882)."" "
SSV Jeddeloh; league      ;Regionalliga Nord;" ""In 2017, SSV Jeddeloh prematurely secured the championship and thus managed promotion to the [[Regionalliga Nord]], where in the 2017–18 season the team managed to finish fourth place going into the winter break."" "
SSV Jeddeloh; season      ;2016–17 Niedersachsenliga;" ""In [[2017]], SSV Jeddeloh prematurely secured the championship and thus managed promotion to the Regionalliga Nord, where in the [[2017]]–18 season the team managed to finish fourth place going into the winter break."" "
"City Stadium &quot;Besnik Begunca&quot;"; operator            ;KF Lepenci;" ""City Stadium ""Besnik Begunca"" () is the home ground of [[KF Lepenci]]."" "
